id_fiche,statut_utilisateur,categorie,activite,activite_reglementee,niveau_vigilance,code_ape_indicatif
fonctionnaire_aide_administrative_papiers,fonctionnaire,Aide à domicile,Aide administrative / papiers,True,moyen,"81.21Z, 88.10A, 96.09Z ou 82.99Z selon activité — à confirmer"
fonctionnaire_gardiennage_maison_absence,fonctionnaire,Aide à domicile,Gardiennage maison (absence),False,moyen,"81.21Z, 88.10A, 96.09Z ou 82.99Z selon activité — à confirmer"
fonctionnaire_nettoyage_apres_demenagement,fonctionnaire,Aide à domicile,Nettoyage après déménagement,False,moyen,"81.21Z, 88.10A, 96.09Z ou 82.99Z selon activité — à confirmer"
fonctionnaire_organisation_rangement,fonctionnaire,Aide à domicile,Organisation / rangement,False,moyen,"81.21Z, 88.10A, 96.09Z ou 82.99Z selon activité — à confirmer"
fonctionnaire_baby_sitting_soiree,fonctionnaire,Garde d'enfants,Baby-sitting soirée,True,élevé,88.91A ou 85.59B selon activité — à confirmer
fonctionnaire_sortie_d_ecole_creche,fonctionnaire,Garde d'enfants,Sortie d'école / crèche,True,élevé,88.91A ou 85.59B selon activité — à confirmer
fonctionnaire_garde_periscolaire,fonctionnaire,Garde d'enfants,Garde périscolaire,True,élevé,88.91A ou 85.59B selon activité — à confirmer
fonctionnaire_garde_week_end,fonctionnaire,Garde d'enfants,Garde week-end,True,élevé,88.91A ou 85.59B selon activité — à confirmer
fonctionnaire_garde_vacances_scolaires,fonctionnaire,Garde d'enfants,Garde vacances scolaires,True,élevé,88.91A ou 85.59B selon activité — à confirmer
fonctionnaire_garde_occasionnelle_urgence,fonctionnaire,Garde d'enfants,Garde occasionnelle urgence,True,élevé,88.91A ou 85.59B selon activité — à confirmer
fonctionnaire_garde_a_domicile_temps_plein,fonctionnaire,Garde d'enfants,Garde à domicile temps plein,True,élevé,88.91A ou 85.59B selon activité — à confirmer
fonctionnaire_garde_partagee,fonctionnaire,Garde d'enfants,Garde partagée,True,élevé,88.91A ou 85.59B selon activité — à confirmer
fonctionnaire_accompagnement_activites,fonctionnaire,Garde d'enfants,Accompagnement activités,True,élevé,88.91A ou 85.59B selon activité — à confirmer
fonctionnaire_aide_aux_devoirs_legere,fonctionnaire,Garde d'enfants,Aide aux devoirs légère,True,élevé,88.91A ou 85.59B selon activité — à confirmer
fonctionnaire_dj_soiree_privee,fonctionnaire,Événementiel / DJ,DJ soirée privée,True,élevé,"90.02Z, 90.01Z, 74.20Z, 82.30Z ou 93.29Z selon activité — à confirmer"
fonctionnaire_dj_mariage,fonctionnaire,Événementiel / DJ,DJ mariage,True,élevé,"90.02Z, 90.01Z, 74.20Z, 82.30Z ou 93.29Z selon activité — à confirmer"
fonctionnaire_dj_anniversaire,fonctionnaire,Événementiel / DJ,DJ anniversaire,True,élevé,"90.02Z, 90.01Z, 74.20Z, 82.30Z ou 93.29Z selon activité — à confirmer"
fonctionnaire_location_sono_lumieres,fonctionnaire,Événementiel / DJ,Location sono / lumières,True,élevé,"90.02Z, 90.01Z, 74.20Z, 82.30Z ou 93.29Z selon activité — à confirmer"
fonctionnaire_animateur_micro_mc,fonctionnaire,Événementiel / DJ,Animateur micro / MC,True,moyen,"90.02Z, 90.01Z, 74.20Z, 82.30Z ou 93.29Z selon activité — à confirmer"
fonctionnaire_photographe_evenement,fonctionnaire,Événementiel / DJ,Photographe événement,False,moyen,"90.02Z, 90.01Z, 74.20Z, 82.30Z ou 93.29Z selon activité — à confirmer"
fonctionnaire_videaste_evenement,fonctionnaire,Événementiel / DJ,Vidéaste événement,False,moyen,"90.02Z, 90.01Z, 74.20Z, 82.30Z ou 93.29Z selon activité — à confirmer"
fonctionnaire_serveur_barman_evenementiel,fonctionnaire,Événementiel / DJ,Serveur / barman événementiel,True,élevé,"56.10C — restauration de type rapide / food truck, à confirmer par l'Insee"
fonctionnaire_decoration_de_salle,fonctionnaire,Événementiel / DJ,Décoration de salle,False,moyen,"90.02Z, 90.01Z, 74.20Z, 82.30Z ou 93.29Z selon activité — à confirmer"
fonctionnaire_organisation_complete_evenement,fonctionnaire,Événementiel / DJ,Organisation complète événement,True,élevé,"90.02Z, 90.01Z, 74.20Z, 82.30Z ou 93.29Z selon activité — à confirmer"
fonctionnaire_aide_aux_devoirs_primaire,fonctionnaire,Cours & soutien,Aide aux devoirs primaire,True,élevé,88.91A ou 85.59B selon activité — à confirmer
fonctionnaire_soutien_college,fonctionnaire,Cours & soutien,Soutien collège,False,moyen,"85.59B, 85.52Z, 85.51Z ou 62.02A selon activité — à confirmer"
fonctionnaire_soutien_lycee,fonctionnaire,Cours & soutien,Soutien lycée,False,moyen,"85.59B, 85.52Z, 85.51Z ou 62.02A selon activité — à confirmer"
fonctionnaire_maths_physique,fonctionnaire,Cours & soutien,Maths / Physique,False,moyen,"85.59B, 85.52Z, 85.51Z ou 62.02A selon activité — à confirmer"
fonctionnaire_francais_langues,fonctionnaire,Cours & soutien,Français / Langues,False,moyen,"85.59B, 85.52Z, 85.51Z ou 62.02A selon activité — à confirmer"
fonctionnaire_anglais,fonctionnaire,Cours & soutien,Anglais,False,moyen,"85.59B, 85.52Z, 85.51Z ou 62.02A selon activité — à confirmer"
fonctionnaire_espagnol,fonctionnaire,Cours & soutien,Espagnol,False,moyen,"85.59B, 85.52Z, 85.51Z ou 62.02A selon activité — à confirmer"
fonctionnaire_initiation_informatique,fonctionnaire,Cours & soutien,Initiation informatique,False,moyen,"62.09Z ou 62.02A — dépannage/conseil informatique, à confirmer"
fonctionnaire_cours_de_musique,fonctionnaire,Cours & soutien,Cours de musique,False,moyen,"85.59B, 85.52Z, 85.51Z ou 62.02A selon activité — à confirmer"
fonctionnaire_coaching_sport_fitness,fonctionnaire,Cours & soutien,Coaching sport / fitness,True,élevé,"85.59B, 85.52Z, 85.51Z ou 62.02A selon activité — à confirmer"
fonctionnaire_preparation_examens_concours,fonctionnaire,Cours & soutien,Préparation examens / concours,False,moyen,"85.59B, 85.52Z, 85.51Z ou 62.02A selon activité — à confirmer"
fonctionnaire_tonte_de_pelouse,fonctionnaire,Jardinage,Tonte de pelouse,False,moyen,"81.30Z — services d'aménagement paysager, à confirmer"
fonctionnaire_taille_de_haies,fonctionnaire,Jardinage,Taille de haies,False,moyen,"81.30Z — services d'aménagement paysager, à confirmer"
fonctionnaire_debroussaillage,fonctionnaire,Jardinage,Débroussaillage,True,élevé,"81.30Z — services d'aménagement paysager, à confirmer"
fonctionnaire_desherbage_nettoyage_massif,fonctionnaire,Jardinage,Désherbage / nettoyage massif,False,moyen,"81.30Z — services d'aménagement paysager, à confirmer"
fonctionnaire_elagage_leger,fonctionnaire,Jardinage,Élagage léger,True,élevé,"81.30Z — services d'aménagement paysager, à confirmer"
fonctionnaire_creation_de_massifs_plantations,fonctionnaire,Jardinage,Création de massifs / plantations,False,moyen,"81.30Z — services d'aménagement paysager, à confirmer"
fonctionnaire_arrosage_entretien_regulier,fonctionnaire,Jardinage,Arrosage / entretien régulier,False,moyen,"81.30Z — services d'aménagement paysager, à confirmer"
fonctionnaire_evacuation_des_vegetaux,fonctionnaire,Jardinage,Évacuation des végétaux,False,moyen,"81.30Z — services d'aménagement paysager, à confirmer"
fonctionnaire_entretien_jardin_location,fonctionnaire,Jardinage,Entretien jardin location,False,moyen,"81.30Z — services d'aménagement paysager, à confirmer"
fonctionnaire_entretien_potager,fonctionnaire,Jardinage,Entretien potager,False,moyen,"81.30Z — services d'aménagement paysager, à confirmer"
fonctionnaire_peinture_chambre_salon,fonctionnaire,Peinture,Peinture chambre / salon,True,élevé,"43.34Z — travaux de peinture et vitrerie, à confirmer"
fonctionnaire_peinture_facade,fonctionnaire,Peinture,Peinture façade,True,élevé,"43.34Z — travaux de peinture et vitrerie, à confirmer"
fonctionnaire_peinture_grille_portail,fonctionnaire,Peinture,Peinture grille / portail,True,élevé,"43.21A, 43.22A, 43.33Z, 43.34Z, 43.39Z, 95.22Z ou 95.24Z selon travaux — à confirmer"
fonctionnaire_preparation_murs_enduit_poncage,fonctionnaire,Peinture,"Préparation murs (enduit, ponçage)",True,élevé,"43.34Z — travaux de peinture et vitrerie, à confirmer"
fonctionnaire_rafraichissement_appartement,fonctionnaire,Peinture,Rafraîchissement appartement,True,élevé,"43.34Z — travaux de peinture et vitrerie, à confirmer"
fonctionnaire_peinture_boiseries,fonctionnaire,Peinture,Peinture boiseries,True,élevé,"43.34Z — travaux de peinture et vitrerie, à confirmer"
fonctionnaire_peinture_plafond,fonctionnaire,Peinture,Peinture plafond,True,élevé,"43.34Z — travaux de peinture et vitrerie, à confirmer"
fonctionnaire_peinture_escalier_cage,fonctionnaire,Peinture,Peinture escalier / cage,True,élevé,"43.34Z — travaux de peinture et vitrerie, à confirmer"
fonctionnaire_peinture_decorative,fonctionnaire,Peinture,Peinture décorative,True,élevé,"43.34Z — travaux de peinture et vitrerie, à confirmer"
fonctionnaire_renovation_locative_express,fonctionnaire,Peinture,Rénovation locative express,True,élevé,"43.34Z — travaux de peinture et vitrerie, à confirmer"
fonctionnaire_aide_demenagement,fonctionnaire,Main-d'oeuvre,Aide déménagement,False,moyen,"81.21Z, 88.10A, 96.09Z ou 82.99Z selon activité — à confirmer"
fonctionnaire_chargement_dechargement,fonctionnaire,Main-d'oeuvre,Chargement / déchargement,False,moyen,"82.99Z, 52.29B, 49.42Z, 53.20Z, 78.30Z ou 81.29B selon activité — à confirmer"
fonctionnaire_port_de_charges_lourdes,fonctionnaire,Main-d'oeuvre,Port de charges lourdes,False,moyen,"82.99Z, 52.29B, 49.42Z, 53.20Z, 78.30Z ou 81.29B selon activité — à confirmer"
fonctionnaire_manutention_chantier,fonctionnaire,Main-d'oeuvre,Manutention chantier,False,moyen,"82.99Z, 52.29B, 49.42Z, 53.20Z, 78.30Z ou 81.29B selon activité — à confirmer"
fonctionnaire_montage_demontage_stands,fonctionnaire,Main-d'oeuvre,Montage / démontage stands,False,moyen,"82.99Z, 52.29B, 49.42Z, 53.20Z, 78.30Z ou 81.29B selon activité — à confirmer"
fonctionnaire_manutention_evenementielle,fonctionnaire,Main-d'oeuvre,Manutention événementielle,False,moyen,"82.99Z, 52.29B, 49.42Z, 53.20Z, 78.30Z ou 81.29B selon activité — à confirmer"
fonctionnaire_vigile_securite_evenementielle,fonctionnaire,Main-d'oeuvre,Vigile / sécurité événementielle,True,élevé,"82.99Z, 52.29B, 49.42Z, 53.20Z, 78.30Z ou 81.29B selon activité — à confirmer"
fonctionnaire_distribution_flyers_echantillons,fonctionnaire,Main-d'oeuvre,Distribution flyers / échantillons,False,moyen,"82.99Z, 52.29B, 49.42Z, 53.20Z, 78.30Z ou 81.29B selon activité — à confirmer"
fonctionnaire_inventaire_magasin,fonctionnaire,Main-d'oeuvre,Inventaire magasin,False,moyen,"82.99Z, 52.29B, 49.42Z, 53.20Z, 78.30Z ou 81.29B selon activité — à confirmer"
fonctionnaire_aide_livraison,fonctionnaire,Main-d'oeuvre,Aide livraison,True,élevé,"82.99Z, 52.29B, 49.42Z, 53.20Z, 78.30Z ou 81.29B selon activité — à confirmer"
fonctionnaire_aide_debarras_encombrants,fonctionnaire,Main-d'oeuvre,Aide débarras / encombrants,True,élevé,"56.10A, 56.10C, 56.21Z ou 56.29B selon activité réelle — à confirmer par l'Insee"
fonctionnaire_informatique_depannage,fonctionnaire,Autre,Informatique / dépannage,False,moyen,"62.09Z ou 62.02A — dépannage/conseil informatique, à confirmer"
fonctionnaire_reseaux_sociaux_contenu,fonctionnaire,Autre,Réseaux sociaux / contenu,False,moyen,"73.11Z ou 70.21Z — communication/contenu, à confirmer"
fonctionnaire_nettoyage_vehicule,fonctionnaire,Autre,Nettoyage véhicule,False,moyen,"45.20A ou 81.29B selon lavage/entretien, à confirmer"
fonctionnaire_aide_administrative_comptable,fonctionnaire,Autre,Aide administrative / comptable,True,moyen,"81.21Z, 88.10A, 96.09Z ou 82.99Z selon activité — à confirmer"
fonctionnaire_coaching_perso_pro,fonctionnaire,Autre,Coaching perso / pro,True,élevé,"62.02A, 73.11Z, 74.30Z, 96.09Z, 95.29Z ou 82.99Z selon activité — à confirmer"
fonctionnaire_traduction,fonctionnaire,Autre,Traduction,False,moyen,"74.30Z — traduction et interprétation, à confirmer"
fonctionnaire_promenade_animaux_pet_sitting,fonctionnaire,Autre,Promenade animaux / pet-sitting,True,élevé,"62.02A, 73.11Z, 74.30Z, 96.09Z, 95.29Z ou 82.99Z selon activité — à confirmer"
fonctionnaire_couture_retouches,fonctionnaire,Autre,Couture / retouches,False,moyen,"95.29Z ou 14.13Z selon retouche/confection, à confirmer"
fonctionnaire_assistance_shooting_photo,fonctionnaire,Autre,Assistance shooting photo,True,élevé,"62.02A, 73.11Z, 74.30Z, 96.09Z, 95.29Z ou 82.99Z selon activité — à confirmer"
fonctionnaire_autre_service_ponctuel,fonctionnaire,Autre,Autre service ponctuel,False,moyen,"62.02A, 73.11Z, 74.30Z, 96.09Z, 95.29Z ou 82.99Z selon activité — à confirmer"
